tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36005000200",Soundview-Castle Hill-Clason Point-Harding Park,"3505","2059",136.000000000000000,"709",171.000000000000000,"50817","730",,"4532",,,,,"51100","1559",,9.912749533000000,-0.546315995000000,2.903128113000000,0.005569002000000,1.135616438000000,"0",0.916827400000000,1.670149000000000,0.845450000000000,0.006224300000000,"1","0","0","0"
"36005000400",Soundview-Castle Hill-Clason Point-Harding Park,"3354","1979",186.000000000000000,"702",234.000000000000000,"41019","643",,"5516",,,,,"78409","1314",,6.963484526000000,-0.356045815000000,1.879139473000000,0.911528804000000,1.043545879000000,"0",1.482362400000000,1.920397300000000,1.164254000000000,0.349401200000000,"1","0","0","0"
"36005001600",Soundview-Castle Hill-Clason Point-Harding Park,"5208","3157",294.000000000000000,"1232",351.000000000000000,"30104","558",,"5825",,,,,"34093","1030",,4.729393010000000,-0.450107296000000,0.655698617000000,0.132507308000000,0.845878136000000,"0",-0.155292030000000,0.725780000000000,-0.039063000000000,-0.773664270000000,"0","0","0","0"
"36005001900",Mott Haven-Port Morris,"1613","961",80.000000000000000,"239",37.000000000000000,"23671","461",,"3141",,,,,"45156","1344",,3.397106813000000,0.237895615000000,5.662020186000000,0.907650712000000,1.915401302000000,"0",3.212204700000000,3.160437700000000,2.428720200000000,1.649990100000000,"0","1","1","1"
"36005002000",Soundview-Castle Hill-Clason Point-Harding Park,"9101","4894",116.000000000000000,"1799",302.000000000000000,"19694","266",,"9040",,,,,"20592","527",,26.511986950000001,-0.327122246000000,0.536790497000000,0.045597644000000,0.981203008000000,"0",0.530779800000000,1.134090300000000,0.369166500000000,-0.432107320000000,"0","0","0","0"
"36005002300",Mott Haven-Port Morris,"4305","2430",41.000000000000000,"827",152.000000000000000,"20217","229",,"4302",,,,,"18688","444",,13.253835430000001,-0.325180999000000,0.678801475000000,-0.075629421000000,0.938864629000000,,0.222875600000000,1.407466100000000,0.583471300000000,-0.208168180000000,"0","0","1","1"
"36005002500",Mott Haven-Port Morris,"5109","2728",19.000000000000000,"1212",90.000000000000000,"15662","340",,"5610",,,,,"23115","902",,51.724458200000001,-0.454746651000000,1.590421866000000,0.475865151000000,1.652941176000000,"0",1.854619200000000,2.498303000000000,1.730990900000000,0.916837500000000,"0","0","1","1"
"36005002701",Mott Haven-Port Morris,"3033","1533",35.000000000000000,"595",161.000000000000000,"13077","264",,"2608",,,,,"18832","443",,8.802092462999999,-0.486286539000000,0.242417025000000,0.440085647000000,0.678030303000000,,-0.161552390000000,1.184799800000000,0.313954200000000,-0.463761210000000,"0","0","1","1"
"36005002702",Mott Haven-Port Morris,"4736","2249",8.000000000000000,"1114",77.000000000000000,"12042","332",,"4560",,,,,"13097","921",,68.845614040000001,-0.409397540000000,1.508817498000000,0.087610032000000,1.774096386000000,"0",1.689530100000000,2.444291100000000,1.687094900000000,0.916228500000000,"0","0","0","1"
"36005002800",Soundview-Castle Hill-Clason Point-Harding Park,"5718","3720",49.000000000000000,"1121",522.000000000000000,"38448","586",,"5151",,,,,"51138","978",,13.838767190000000,-0.214674891000000,1.373265318000000,0.330056180000000,0.668941980000000,"0",1.087436300000000,1.785731700000000,1.026005700000000,0.230782500000000,"0","0","0","0"
